MATCH_ID,DATE,COMPETITION,ROUND,HOME_OR_AWAY,OPPONENT,GOALS_SCORED,GOALS_CONCEDED,POSSESSION,SHOTS_ON_TARGET,PASS_ACCURACY,EXPECTED_GOALS,MATCH_OUTCOME
74,17-03-2024,La liga,Matchweek 29,Away,Atletico Madrid,3,0,59%,5,86%,1.5,Win
75,20-03-2024,La liga,Matchweek 30,Home,Las Palmas,1,0,69%,2,87%,1.7,Win
76,10-04-2024,UCL,Quarter finals,Away,PSG,3,2,41%,6,82%,1.9,Win
77,13-04-2024,La liga,Matchweek 31,Away,Cadiz,1,0,62%,1,83%,0.9,Win
78,16-04-2024,UCL,Quarter finals,Home,PSG,1,4,33%,3,73%,1.1,Loss
79,21-04-2024,La liga,Matchweek 32,Away,Real Madrid,2,3,53%,6,88%,1.4,Loss
80,29-04-2024,La liga,Matchweek 33,Home,Valencia,4,2,80%,13,89%,2.2,Win
81,04-05-2024,La liga,Matchweek 34,Away,Girona,2,4,60%,6,87%,2.6,Loss
82,13-05-2024,La liga,Matchweek 35,Home,Real Sociedad,2,0,56%,4,87%,2.1,Win
83,16-05-2024,La liga,Matchweek 36,Away,Almeria,2,0,64%,7,89%,1.6,Win
84,19-05-2024,La liga,Matchweek 37,Home,Rayo Vallecano,3,0,72%,6,89%,1.3,Win
85,26-05-2024,La liga,Matchweek 38,Away,Sevilla,2,1,61%,6,90%,1.3,Win
86,17-08-2024,La liga,Matchweek 1,Away,Valencia,2,1,63%,5,85%,3.2,Win
87,24-08-2024,La liga,Matchweek 2,Home,Athletic Club,2,1,64%,5,87%,1.8,Win
88,27-08-2024,La liga,Matchweek 3,Away,Rayo Vallecano,2,1,64%,5,83%,1.4,Win
89,31-08-2024,La liga,Matchweek 4,Home,Valladoid,7,0,70%,11,90%,4.7,Win
90,15-09-2024,La liga,Matchweek 5,Away,Girona,4,1,55%,9,85%,1.9,Win
91,19-09-2024,UCL,League Phase,Away,Monaco,1,2,44%,1,79%,0.4,Loss
92,22-09-2024,La liga,Matchweek 6,Away,Villarreal,5,1,63%,9,89%,3.9,Win
93,25-09-2024,La liga,Matchweek 7,Home,Getafe,1,0,76%,4,86%,1.9,Win
94,28-09-2024,La liga,Matchweek 8,Away,Osasuna,2,4,73%,6,86%,0.8,Loss
95,01-10-2024,UCL,League Phase,Home,Young Boys,5,0,69%,8,89%,3.4,Win
96,06-10-2024,La liga,Matchweek 9,Away,Alaves,3,0,71%,9,90%,2.7,Win
97,20-10-2024,La liga,Matchweek 10,Home,Sevilla,5,1,67%,1,78%,3.8,Win
98,23-10-2024,UCL,League Phase,Home,Bayern Munich,4,1,40%,4,81%,2.2,Win
99,26-10-2024,La liga,Matchweek 11,Away,Real Madrid,4,0,57%,7,83%,2.6,Win
100,03-11-2024,La liga,Matchweek 12,Home,Espanyol,3,1,76%,9,90%,1.8,Win
101,06-11-2024,UCL,League Phase,Away,Red Star,5,2,69%,9,88%,3.6,Win
102,10-11-2024,La liga,Matchweek 13,Away,Real Sociedad,0,1,69%,0,82%,0.7,Loss
103,23-11-2024,La liga,Matchweek 14,Away,Celta Vigo,2,2,59%,4,83%,1.8,Draw
104,26-11-2024,UCL,League Phase,Home,Brest,3,0,75%,6,89%,2.8,Win
105,30-11-2024,La liga,Matchweek 15,Home,Las Palmas,1,2,69%,8,86%,2.3,Loss
106,03-12-2024,La liga,Matchweek 19,Away,Mallorca,5,1,59%,8,82%,5.1,Win
107,07-12-2024,La liga,Matchweek 16,Away,Real Betis,2,2,62%,3,83%,1.9,Draw
108,11-12-2024,UCL,League Phase,Away,Dortmund,3,2,54%,8,85%,2.1,Win
109,15-12-2024,La liga,Matchweek 17,Home,Leganes,0,1,79%,3,86%,2.6,Loss
110,21-12-2024,La liga,Matchweek 18,Home,Atletico Madrid,1,2,62%,7,87%,2.7,Loss
111,04-01-2025,Copa del Rey,Round of 32,Away,Barbastro,4,0,75%,9,87%,2.5,Win
112,08-01-2025,Supercopa,Semi finals,Away,Athletic Club,2,0,56%,8,86%,1.2,Win
113,12-01-2025,Supercopa,Finals,Away,Real Madrid,5,2,51%,8,84%,3.3,Win
114,15-01-2025,Copa del Rey,Round of 16,Home,Real Betis,5,1,69%,9,89%,2.9,Win
115,18-01-2025,La liga,Matchweek 20,Away,Getafe,1,1,77%,5,83%,2.3,Draw
116,21-01-2025,UCL,League Phase,Away,Befica,5,4,74%,9,88%,3.6,Win
117,26-01-2025,La liga,Matchweek 21,Home,Valencia,7,1,71%,11,89%,4.4,Win
118,29-01-2025,UCL,League Phase,Home,Atalanta,2,2,67%,7,90%,2.4,Draw
119,02-02-2025,La liga,Matchweek 22,Home,Alaves,1,0,69%,4,87%,1.1,Win
120,06-02-2025,Copa del Rey,Quarter finals,Away,Valencia,5,0,77%,9,82%,2.7,Win
121,09-02-2025,La liga,Matchweek 23,Away,Sevilla,4,1,60%,6,84%,1.9,Win
122,17-02-2025,La liga,Matchweek 24,Home,Rayo Vallecano,1,0,59%,4,85%,2.3,Win
